"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.961196600E-2,-3.488351822E0,7.757213712E-1,9.186552048E0,9.857133488E0
9.161325500E-2,-3.485957623E0,7.733271718E-1,9.193734169E0,9.862792882E0
9.361270800E-2,-3.485957623E0,7.781155705E-1,9.184157372E0,9.854243300E0
9.561251300E-2,-3.483563423E0,7.829039693E-1,9.176975250E0,9.847082182E0
9.761337200E-2,-3.473986626E0,7.733271718E-1,9.172186852E0,9.838476997E0
9.961458300E-2,-3.473986626E0,7.709329724E-1,9.167398453E0,9.833825050E0
1.016155600E-1,-3.469198227E0,7.661445141E-1,9.165003777E0,9.829527353E0
1.036163410E-1,-3.466804028E0,7.661445141E-1,9.169792175E0,9.833147824E0
1.056168490E-1,-3.454833031E0,7.661445141E-1,9.167398453E0,9.826700518E0
1.076169270E-1,-3.452438831E0,7.733271718E-1,9.167398453E0,9.826421688E0
1.096168490E-1,-3.457227230E0,7.709329724E-1,9.155426979E0,9.816751038E0
1.116169660E-1,-3.450044632E0,7.685387731E-1,9.157821655E0,9.816270029E0
1.136178260E-1,-3.462015629E0,7.733271718E-1,9.148244858E0,9.811930040E0
1.156183330E-1,-3.462015629E0,7.637503147E-1,9.150638580E0,9.813411903E0
1.176184510E-1,-3.459621429E0,7.589619160E-1,9.143456459E0,9.805498439E0
1.196188800E-1,-3.450044632E0,7.541735172E-1,9.141061783E0,9.799520201E0
1.216193100E-1,-3.445256233E0,7.493851185E-1,9.133879662E0,9.790767398E0
1.236199350E-1,-3.435679436E0,7.493851185E-1,9.155426979E0,9.807513161E0
1.256207160E-1,-3.433285236E0,7.541735172E-1,9.133879662E0,9.786929185E0
1.276202470E-1,-3.438073635E0,7.565677166E-1,9.131484985E0,9.786560329E0
1.296202080E-1,-3.440467834E0,7.589619160E-1,9.131484985E0,9.787587044E0
1.316207160E-1,-3.445256233E0,7.613561153E-1,9.131484985E0,9.789457170E0
1.336212240E-1,-3.457227230E0,7.661445141E-1,9.136273384E0,9.798514626E0
1.356223180E-1,-3.466804028E0,7.637503147E-1,9.145850182E0,9.810638116E0
1.376229040E-1,-3.478775024E0,7.637503147E-1,9.145850182E0,9.814874719E0
1.396221220E-1,-3.481169224E0,7.541735172E-1,9.167398453E0,9.835065391E0
1.416217710E-1,-3.488351822E0,7.469909191E-1,9.162610054E0,9.832599700E0
1.436222790E-1,-3.485957623E0,7.541735172E-1,9.150638580E0,9.821143756E0
1.456230990E-1,-3.500322819E0,7.613561153E-1,9.167398453E0,9.842414204E0
1.476243880E-1,-3.505111217E0,7.589619160E-1,9.169792175E0,9.846162520E0
1.496251690E-1,-3.502717018E0,7.637503147E-1,9.176975250E0,9.852371075E0
1.516255990E-1,-3.500322819E0,7.541735172E-1,9.167398453E0,9.841861202E0
1.536253650E-1,-3.497928619E0,7.541735172E-1,9.165003777E0,9.838779220E0
1.556247400E-1,-3.495534420E0,7.565677166E-1,9.153033257E0,9.826961554E0
1.576247400E-1,-3.497928619E0,7.445967197E-1,9.155426979E0,9.829128754E0
1.596253260E-1,-3.497928619E0,7.517793179E-1,9.162610054E0,9.836366187E0
1.616254040E-1,-3.485957623E0,7.398083210E-1,9.157821655E0,9.826744851E0
1.636257160E-1,-3.485957623E0,7.398083210E-1,9.150638580E0,9.820051086E0
1.656268100E-1,-3.478775024E0,7.398083210E-1,9.150638580E0,9.817503677E0
1.676277870E-1,-3.473986626E0,7.278373241E-1,9.141061783E0,9.805984946E0
1.696285680E-1,-3.471592426E0,7.278373241E-1,9.145850182E0,9.809601250E0
1.716301690E-1,-3.447650433E0,7.302315235E-1,9.131484985E0,9.787928771E0
1.736306380E-1,-3.442862034E0,7.254431248E-1,9.121908188E0,9.776951248E0
1.756307940E-1,-3.435679436E0,7.206547260E-1,9.117119789E0,9.769601306E0
1.776313410E-1,-3.430891037E0,7.206547260E-1,9.131484985E0,9.781327854E0
1.796313800E-1,-3.416525841E0,7.302315235E-1,9.117119789E0,9.763593608E0
1.816310290E-1,-3.406949043E0,7.278373241E-1,9.114726067E0,9.757831738E0
1.836316540E-1,-3.397372246E0,7.230489254E-1,9.114726067E0,9.754136004E0
1.856318100E-1,-3.402160645E0,7.182605267E-1,9.119514465E0,9.759925170E0
1.876313410E-1,-3.404554844E0,7.206547260E-1,9.119514465E0,9.760936482E0
1.896307160E-1,-3.421314240E0,7.206547260E-1,9.117119789E0,9.764558751E0
1.916305600E-1,-3.411737442E0,7.326257229E-1,9.126696587E0,9.771043107E0
1.936301690E-1,-3.404554844E0,7.254431248E-1,9.129091263E0,9.770238927E0
1.956304040E-1,-3.411737442E0,7.302315235E-1,9.145850182E0,9.788757122E0
1.976300910E-1,-3.430891037E0,7.134721279E-1,9.145850182E0,9.794214176E0
1.996298960E-1,-3.435679436E0,7.182605267E-1,9.160215378E0,9.809655302E0
2.016298960E-1,-3.442862034E0,7.206547260E-1,9.160215378E0,9.812348750E0
2.036293490E-1,-3.447650433E0,7.302315235E-1,9.169792175E0,9.823676507E0
2.056293100E-1,-3.452438831E0,7.350199223E-1,9.188945770E0,9.843592461E0
2.076291540E-1,-3.466804028E0,7.326257229E-1,9.181763649E0,9.841760733E0
2.096284510E-1,-3.469198227E0,7.374141216E-1,9.179368973E0,9.840728157E0
2.116280210E-1,-3.476380825E0,7.374141216E-1,9.176975250E0,9.841030331E0
2.136280210E-1,-3.488351822E0,7.445967197E-1,9.191340446E0,9.859196819E0
2.156284120E-1,-3.497928619E0,7.541735172E-1,9.193734169E0,9.865547643E0
2.176280990E-1,-3.514688015E0,7.493851185E-1,9.208099365E0,9.884518391E0
2.196270440E-1,-3.524264812E0,7.493851185E-1,9.200917244E0,9.881239733E0
2.216259120E-1,-3.543418407E0,7.565677166E-1,9.212887764E0,9.899773213E0
2.236256380E-1,-3.545812607E0,7.517793179E-1,9.212887764E0,9.900265660E0
2.256254820E-1,-3.555389643E0,7.469909191E-1,9.222464561E0,9.912247148E0
2.276251690E-1,-3.562572241E0,7.565677166E-1,9.217676163E0,9.911098300E0
2.296248180E-1,-3.569754839E0,7.565677166E-1,9.217676163E0,9.913682371E0
2.316246220E-1,-3.574543238E0,7.709329724E-1,9.198522568E0,9.898712767E0
2.336246620E-1,-3.574543238E0,7.733271718E-1,9.200917244E0,9.901124805E0
2.356249740E-1,-3.579331636E0,7.685387731E-1,9.205705643E0,9.906931068E0
2.376247400E-1,-3.596091032E0,7.541735172E-1,9.203310966E0,9.909671092E0
2.396248570E-1,-3.591302633E0,7.541735172E-1,9.200917244E0,9.905711001E0
2.416247400E-1,-3.600879431E0,7.613561153E-1,9.191340446E0,9.900845167E0
2.436243100E-1,-3.605667830E0,7.661445141E-1,9.176975250E0,9.889625506E0
2.456237630E-1,-3.600879431E0,7.661445141E-1,9.181763649E0,9.892324995E0
2.476232550E-1,-3.603273630E0,7.661445141E-1,9.184157372E0,9.895418379E0
2.496239190E-1,-3.603273630E0,7.685387731E-1,9.181763649E0,9.893382455E0
2.516243880E-1,-3.603273630E0,7.661445141E-1,9.169792175E0,9.882087169E0
2.536250910E-1,-3.596091032E0,7.661445141E-1,9.167398453E0,9.877248732E0
2.556254430E-1,-3.591302633E0,7.733271718E-1,9.172186852E0,9.880511179E0
2.576257550E-1,-3.591302633E0,7.685387731E-1,9.155426979E0,9.864580560E0
2.596261070E-1,-3.593696833E0,7.637503147E-1,9.148244858E0,9.858415463E0
2.616266930E-1,-3.591302633E0,7.637503147E-1,9.136273384E0,9.846433897E0
2.636273960E-1,-3.591302633E0,7.661445141E-1,9.141061783E0,9.851063016E0
2.656272010E-1,-3.593696833E0,7.565677166E-1,9.129091263E0,9.840089376E0
2.676270830E-1,-3.586514235E0,7.661445141E-1,9.131484985E0,9.840430875E0
2.696267710E-1,-3.584120035E0,7.685387731E-1,9.121908188E0,9.830858419E0
2.716268490E-1,-3.584120035E0,7.613561153E-1,9.105149269E0,9.814750265E0
2.736273180E-1,-3.584120035E0,7.613561153E-1,9.112331390E0,9.821413489E0
2.756277080E-1,-3.574543238E0,7.493851185E-1,9.107542992E0,9.812557096E0
2.776273180E-1,-3.572149038E0,7.589619160E-1,9.109937668E0,9.814643970E0
2.796272400E-1,-3.569754839E0,7.589619160E-1,9.105149269E0,9.809328010E0
2.816274350E-1,-3.569754839E0,7.613561153E-1,9.095572472E0,9.800625048E0
2.836276690E-1,-3.579331636E0,7.637503147E-1,9.107542992E0,9.815409765E0
2.856282160E-1,-3.574543238E0,7.733271718E-1,9.097966194E0,9.805528193E0
2.876285680E-1,-3.574543238E0,7.709329724E-1,9.097966194E0,9.805339661E0
2.896294270E-1,-3.560178041E0,7.709329724E-1,9.112331390E0,9.813449378E0
2.916300520E-1,-3.557783842E0,7.637503147E-1,9.121908188E0,9.820913878E0
2.936300520E-1,-3.555389643E0,7.637503147E-1,9.124302864E0,9.822271265E0
2.956304430E-1,-3.552995205E0,7.661445141E-1,9.121908188E0,9.819366646E0
2.976312630E-1,-3.552995205E0,7.637503147E-1,9.121908188E0,9.819180132E0
2.996312240E-1,-3.550601006E0,7.613561153E-1,9.141061783E0,9.835926044E0
3.016308720E-1,-3.548206806E0,7.613561153E-1,9.148244858E0,9.841738599E0
3.036307940E-1,-3.548206806E0,7.685387731E-1,9.141061783E0,9.835620667E0
3.056302470E-1,-3.531447411E0,7.565677166E-1,9.145850182E0,9.833111973E0
3.076299740E-1,-3.543418407E0,7.565677166E-1,9.145850182E0,9.837417561E0
3.096300520E-1,-3.536235809E0,7.565677166E-1,9.141061783E0,9.830379897E0
3.116296220E-1,-3.533841610E0,7.613561153E-1,9.150638580E0,9.838794951E0
3.136286070E-1,-3.533841610E0,7.541735172E-1,9.145850182E0,9.833788169E0
3.156274740E-1,-3.521870613E0,7.613561153E-1,9.145850182E0,9.830046353E0
3.176270830E-1,-3.509899616E0,7.661445141E-1,9.138668060E0,9.819451443E0
3.196262630E-1,-3.507505417E0,7.565677166E-1,9.131484985E0,9.811167464E0
3.216250130E-1,-3.502717018E0,7.565677166E-1,9.153033257E0,9.829518758E0
3.236242320E-1,-3.507505417E0,7.589619160E-1,9.167398453E0,9.844786023E0
3.256234900E-1,-3.512293816E0,7.541735172E-1,9.167398453E0,9.846125123E0
3.276214580E-1,-3.505111217E0,7.589619160E-1,9.165003777E0,9.841703209E0
3.296202080E-1,-3.500322819E0,7.541735172E-1,9.162610054E0,9.837401107E0
3.316181770E-1,-3.493140221E0,7.589619160E-1,9.172186852E0,9.844138532E0
3.336165370E-1,-3.493140221E0,7.637503147E-1,9.174580574E0,9.846739148E0
3.356157160E-1,-3.483563423E0,7.565677166E-1,9.172186852E0,9.840559967E0
3.376144660E-1,-3.481169224E0,7.565677166E-1,9.174580574E0,9.841944045E0
3.396132550E-1,-3.485957623E0,7.541735172E-1,9.184157372E0,9.852381685E0
3.416114580E-1,-3.471592426E0,7.565677166E-1,9.179368973E0,9.843026131E0
3.436100130E-1,-3.459621429E0,7.637503147E-1,9.186552048E0,9.846066905E0
3.456086460E-1,-3.462015629E0,7.685387731E-1,9.191340446E0,9.851748234E0
3.476074350E-1,-3.464409828E0,7.637503147E-1,9.191340446E0,9.852217476E0
3.496057940E-1,-3.464409828E0,7.733271718E-1,9.186552048E0,9.848497799E0
3.516047400E-1,-3.462015629E0,7.781155705E-1,9.167398453E0,9.830168383E0
3.536040760E-1,-3.466804028E0,7.805097699E-1,9.186552048E0,9.849906811E0
3.556029430E-1,-3.464409828E0,7.709329724E-1,9.184157372E0,9.846076362E0
3.576024350E-1,-3.464409828E0,7.805097699E-1,9.184157372E0,9.846830840E0
3.596012630E-1,-3.466804028E0,7.972691655E-1,9.193734169E0,9.857946858E0
3.615995440E-1,-3.473986626E0,7.924807668E-1,9.184157372E0,9.851160108E0
3.635993490E-1,-3.476380825E0,7.948749661E-1,9.198522568E0,9.865590063E0
3.655984900E-1,-3.483563423E0,7.900865674E-1,9.205705643E0,9.874435036E0
3.675974740E-1,-3.488351822E0,7.924807668E-1,9.200917244E0,9.871854047E0
3.695959120E-1,-3.502717018E0,7.972691655E-1,9.188945770E0,9.866173980E0
3.715950910E-1,-3.505111217E0,7.924807668E-1,9.198522568E0,9.875558103E0
3.735946220E-1,-3.514688015E0,7.972691655E-1,9.205705643E0,9.886034915E0
3.755943490E-1,-3.526659012E0,7.972691655E-1,9.198522568E0,9.883611655E0
3.775937630E-1,-3.541024208E0,7.996633649E-1,9.193734169E0,9.884485920E0
3.795931770E-1,-3.548206806E0,8.044517636E-1,9.184157372E0,9.878545480E0
3.815922010E-1,-3.550601006E0,8.020575643E-1,9.191340446E0,9.885889087E0
3.835913020E-1,-3.562572241E0,8.020575643E-1,9.186552048E0,9.885745082E0
3.855909510E-1,-3.562572241E0,8.044517636E-1,9.196128845E0,9.894839531E0
3.875903650E-1,-3.567360640E0,8.044517636E-1,9.198522568E0,9.898788916E0
3.895904040E-1,-3.574543238E0,8.140285611E-1,9.186552048E0,9.891043443E0
3.915911070E-1,-3.586514235E0,8.188169599E-1,9.172186852E0,9.882436805E0
3.935922400E-1,-3.584120035E0,8.140285611E-1,9.172186852E0,9.881172530E0
3.955929430E-1,-3.591302633E0,8.020575643E-1,9.165003777E0,9.876135133E0
3.975938800E-1,-3.584120035E0,8.020575643E-1,9.157821655E0,9.866859188E0
3.995945440E-1,-3.584120035E0,8.020575643E-1,9.141061783E0,9.851305664E0
4.015947790E-1,-3.584120035E0,7.900865674E-1,9.150638580E0,9.859226118E0
4.035952080E-1,-3.574543238E0,7.948749661E-1,9.141061783E0,9.847243070E0
4.055952470E-1,-3.588908434E0,7.805097699E-1,9.133879662E0,9.844654231E0
4.075950130E-1,-3.586514235E0,7.829039693E-1,9.131484985E0,9.841749896E0
4.095941150E-1,-3.581725836E0,7.733271718E-1,9.124302864E0,9.832583467E0
4.115938020E-1,-3.581725836E0,7.637503147E-1,9.117119789E0,9.825169096E0
4.135935680E-1,-3.579331636E0,7.589619160E-1,9.105149269E0,9.812817198E0
4.155943100E-1,-3.572149038E0,7.589619160E-1,9.109937668E0,9.814643970E0
4.175940760E-1,-3.572149038E0,7.661445141E-1,9.109937668E0,9.815202009E0
4.195939580E-1,-3.552995205E0,7.517793179E-1,9.100360870E0,9.798240405E0
4.215939970E-1,-3.557783842E0,7.541735172E-1,9.107542992E0,9.806831441E0
4.235942320E-1,-3.555389643E0,7.517793179E-1,9.124302864E0,9.821347688E0
4.255942710E-1,-3.543418407E0,7.469909191E-1,9.107542992E0,9.801078960E0
4.275945830E-1,-3.538630009E0,7.445967197E-1,9.129091263E0,9.819197213E0
4.295945050E-1,-3.555389643E0,7.374141216E-1,9.114726067E0,9.811361086E0
4.315938800E-1,-3.552995205E0,7.302315235E-1,9.109937668E0,9.805507499E0
4.335939580E-1,-3.555389643E0,7.302315235E-1,9.114726067E0,9.810823862E0
4.355930210E-1,-3.545812607E0,7.350199223E-1,9.114726067E0,9.807714953E0
4.375922790E-1,-3.545812607E0,7.374141216E-1,9.117119789E0,9.810119259E0
4.395917320E-1,-3.545812607E0,7.326257229E-1,9.121908188E0,9.814210945E0
4.415909900E-1,-3.543418407E0,7.278373241E-1,9.121908188E0,9.812989869E0
4.435905990E-1,-3.543418407E0,7.326257229E-1,9.138668060E0,9.828927122E0
4.455901690E-1,-3.545812607E0,7.302315235E-1,9.138668060E0,9.829612354E0
4.475908720E-1,-3.543418407E0,7.350199223E-1,9.133879662E0,9.824653987E0
4.495915760E-1,-3.541024208E0,7.374141216E-1,9.141061783E0,9.830648124E0
4.515923960E-1,-3.541024208E0,7.398083210E-1,9.150638580E0,9.839733493E0
4.535924740E-1,-3.552995205E0,7.374141216E-1,9.155426979E0,9.848319536E0
4.555922010E-1,-3.560178041E0,7.422025204E-1,9.167398453E0,9.862399640E0
4.575935290E-1,-3.538630009E0,7.398083210E-1,9.176975250E0,9.863371302E0
4.595942320E-1,-3.548206806E0,7.469909191E-1,9.184157372E0,9.874032287E0
4.615939970E-1,-3.545812607E0,7.422025204E-1,9.193734169E0,9.881720477E0
4.635944270E-1,-3.543418407E0,7.350199223E-1,9.191340446E0,9.878097362E0
4.655948960E-1,-3.557783842E0,7.445967197E-1,9.193734169E0,9.886202411E0
4.675955210E-1,-3.557783842E0,7.398083210E-1,9.198522568E0,9.890296237E0
4.695959900E-1,-3.550601006E0,7.422025204E-1,9.220070839E0,9.907943195E0
4.715965370E-1,-3.550601006E0,7.493851185E-1,9.212887764E0,9.901800165E0
4.735972010E-1,-3.550601006E0,7.493851185E-1,9.205705643E0,9.895118086E0
4.755975520E-1,-3.543418407E0,7.565677166E-1,9.203310966E0,9.890861513E0
4.775980600E-1,-3.541024208E0,7.517793179E-1,9.222464561E0,9.907465729E0
4.795982160E-1,-3.543418407E0,7.565677166E-1,9.222464561E0,9.908686154E0
4.815982940E-1,-3.543418407E0,7.613561153E-1,9.205705643E0,9.893457107E0
4.835985290E-1,-3.538630009E0,7.589619160E-1,9.215282440E0,9.900472513E0
4.855992710E-1,-3.538630009E0,7.565677166E-1,9.220070839E0,9.904746505E0
4.875994270E-1,-3.533841610E0,7.493851185E-1,9.229647636E0,9.911408077E0
4.895995440E-1,-3.517082214E0,7.398083210E-1,9.232041359E0,9.906955703E0
4.916003260E-1,-3.514688015E0,7.445967197E-1,9.227252960E0,9.902002490E0
4.936005600E-1,-3.529053211E0,7.469909191E-1,9.217676163E0,9.898371878E0
4.956007550E-1,-3.524264812E0,7.517793179E-1,9.212887764E0,9.892568704E0
4.976018100E-1,-3.524264812E0,7.613561153E-1,9.215282440E0,9.895531115E0
4.996030990E-1,-3.521870613E0,7.493851185E-1,9.222464561E0,9.900454700E0
5.016032940E-1,-3.521870613E0,7.445967197E-1,9.212887764E0,9.891172723E0
5.036034120E-1,-3.524264812E0,7.517793179E-1,9.217676163E0,9.897028264E0
5.056035680E-1,-3.514688015E0,7.445967197E-1,9.215282440E0,9.890848627E0
5.076037240E-1,-3.512293816E0,7.445967197E-1,9.212887764E0,9.887766840E0
5.096038410E-1,-3.517082214E0,7.445967197E-1,9.205705643E0,9.882778352E0
5.116041540E-1,-3.509899616E0,7.302315235E-1,9.196128845E0,9.870228930E0
5.136042710E-1,-3.505111217E0,7.326257229E-1,9.203310966E0,9.875397604E0
5.156046620E-1,-3.497928619E0,7.398083210E-1,9.196128845E0,9.866691782E0
5.176044270E-1,-3.502717018E0,7.398083210E-1,9.193734169E0,9.866158869E0
5.196048180E-1,-3.495534420E0,7.422025204E-1,9.188945770E0,9.859328062E0
5.216048570E-1,-3.502717018E0,7.469909191E-1,9.179368973E0,9.853316025E0
5.236054040E-1,-3.507505417E0,7.374141216E-1,9.176975250E0,9.852068239E0
5.256057940E-1,-3.505111217E0,7.374141216E-1,9.167398453E0,9.842295394E0
5.276055210E-1,-3.497928619E0,7.374141216E-1,9.165003777E0,9.837508752E0
5.296049350E-1,-3.488351822E0,7.445967197E-1,9.160215378E0,9.830186594E0
5.316045440E-1,-3.488351822E0,7.422025204E-1,9.153033257E0,9.823313128E0
5.336037630E-1,-3.485957623E0,7.422025204E-1,9.148244858E0,9.818001279E0
5.356042710E-1,-3.478775024E0,7.350199223E-1,9.150638580E0,9.817144003E0
5.376042710E-1,-3.476380825E0,7.302315235E-1,9.129091263E0,9.795854685E0
5.396044660E-1,-3.473986626E0,7.326257229E-1,9.138668060E0,9.804110232E0
5.416042710E-1,-3.469198227E0,7.422025204E-1,9.131484985E0,9.796439096E0
5.436045830E-1,-3.469198227E0,7.326257229E-1,9.126696587E0,9.791254637E0
5.456044270E-1,-3.478775024E0,7.230489254E-1,9.126696587E0,9.793940270E0
5.476040370E-1,-3.476380825E0,7.206547260E-1,9.133879662E0,9.799608387E0
5.496037630E-1,-3.483563423E0,7.278373241E-1,9.124302864E0,9.793766592E0
5.516038410E-1,-3.478775024E0,7.302315235E-1,9.119514465E0,9.787781047E0
5.536036460E-1,-3.469198227E0,7.326257229E-1,9.114726067E0,9.780097548E0
5.556039580E-1,-3.469198227E0,7.326257229E-1,9.117119789E0,9.782328457E0
5.576049350E-1,-3.466804028E0,7.206547260E-1,9.112331390E0,9.776126880E0
5.596050520E-1,-3.462015629E0,7.230489254E-1,9.112331390E0,9.774606659E0
5.616055600E-1,-3.462015629E0,7.326257229E-1,9.112331390E0,9.775319741E0
5.636065760E-1,-3.457227230E0,7.278373241E-1,9.107542992E0,9.768802723E0
5.656066930E-1,-3.450044632E0,7.254431248E-1,9.119514465E0,9.777250113E0
5.676074350E-1,-3.452438831E0,7.230489254E-1,9.109937668E0,9.768986536E0
5.696084120E-1,-3.454833031E0,7.302315235E-1,9.102754593E0,9.763669931E0
5.716094270E-1,-3.452438831E0,7.350199223E-1,9.112331390E0,9.772111928E0
5.736099740E-1,-3.447650433E0,7.374141216E-1,9.114726067E0,9.772835022E0
5.756098960E-1,-3.450044632E0,7.422025204E-1,9.117119789E0,9.776274638E0
5.776095050E-1,-3.454833031E0,7.398083210E-1,9.124302864E0,9.784482121E0
5.796092710E-1,-3.450044632E0,7.398083210E-1,9.131484985E0,9.789491425E0
5.816090760E-1,-3.452438831E0,7.374141216E-1,9.133879662E0,9.792388429E0
5.836087630E-1,-3.459621429E0,7.326257229E-1,9.133879662E0,9.794563725E0
5.856088410E-1,-3.462015629E0,7.398083210E-1,9.126696587E0,9.789252226E0
5.876083330E-1,-3.462015629E0,7.350199223E-1,9.129091263E0,9.791124235E0
5.896075910E-1,-3.459621429E0,7.422025204E-1,9.141061783E0,9.801982225E0
5.916070440E-1,-3.473986626E0,7.278373241E-1,9.138668060E0,9.803753575E0
5.936071620E-1,-3.473986626E0,7.326257229E-1,9.138668060E0,9.804110232E0
5.956072010E-1,-3.471592426E0,7.230489254E-1,9.153033257E0,9.815944759E0
5.976073570E-1,-3.469198227E0,7.278373241E-1,9.165003777E0,9.826615782E0
5.996078260E-1,-3.478775024E0,7.326257229E-1,9.176975250E0,9.841518728E0
6.016072010E-1,-3.478775024E0,7.278373241E-1,9.172186852E0,9.836698353E0
6.036066930E-1,-3.471592426E0,7.254431248E-1,9.165003777E0,9.827284260E0
6.056064970E-1,-3.485957623E0,7.230489254E-1,9.174580574E0,9.841119296E0
6.076068880E-1,-3.488351822E0,7.206547260E-1,9.196128845E0,9.861882549E0
6.096076300E-1,-3.488351822E0,7.110779285E-1,9.191340446E0,9.856722044E0
6.116086070E-1,-3.495534420E0,7.110779285E-1,9.196128845E0,9.863730453E0
6.136087240E-1,-3.500322819E0,7.158663273E-1,9.196128845E0,9.865774687E0
6.156088410E-1,-3.502717018E0,7.182605267E-1,9.193734169E0,9.864566522E0
6.176091540E-1,-3.497928619E0,7.206547260E-1,9.198522568E0,9.867505525E0
6.196089580E-1,-3.507505417E0,7.182605267E-1,9.200917244E0,9.872961590E0
6.216081770E-1,-3.507505417E0,7.206547260E-1,9.208099365E0,9.879829523E0
6.236082940E-1,-3.514688015E0,7.254431248E-1,9.203310966E0,9.878270715E0
6.256087630E-1,-3.512293816E0,7.206547260E-1,9.205705643E0,9.879299948E0
6.276093490E-1,-3.512293816E0,7.254431248E-1,9.205705643E0,9.879650396E0
6.296100130E-1,-3.502717018E0,7.302315235E-1,9.224859238E0,9.894457668E0
6.316107160E-1,-3.495534420E0,7.302315235E-1,9.210494041E0,9.878522129E0
6.336107160E-1,-3.493140221E0,7.302315235E-1,9.198522568E0,9.866513270E0
6.356113020E-1,-3.507505417E0,7.254431248E-1,9.198522568E0,9.871255209E0
6.376112240E-1,-3.512293816E0,7.302315235E-1,9.193734169E0,9.868849674E0
6.396109900E-1,-3.502717018E0,7.206547260E-1,9.198522568E0,9.869203979E0
6.416116150E-1,-3.495534420E0,7.278373241E-1,9.200917244E0,9.869416709E0
6.436121620E-1,-3.495534420E0,7.254431248E-1,9.196128845E0,9.864776447E0
6.456126690E-1,-3.490746021E0,7.302315235E-1,9.200917244E0,9.867898661E0
6.476135290E-1,-3.497928619E0,7.302315235E-1,9.203310966E0,9.872673166E0
6.496135680E-1,-3.495534420E0,7.302315235E-1,9.191340446E0,9.860666213E0
6.516129820E-1,-3.488351822E0,7.422025204E-1,9.193734169E0,9.861247943E0
6.536125910E-1,-3.488351822E0,7.398083210E-1,9.198522568E0,9.865532536E0
