Sample in Buffer,Sample in Window,TRIGGER,ctime400[23:0],tdc_dvalid_1[0:0],tdc_dvalid[1:1],fine_time_0[7:0],fine_time_1[7:0]
130,130,0,12d6bf,1,1,15,28
131,131,0,12d84f,1,1,16,29
132,132,0,12d9df,1,1,18,29
133,133,0,12db6f,1,1,16,29
134,134,0,12dcff,1,1,16,29
135,135,0,12de8f,1,1,18,29
136,136,0,12e01f,1,1,19,2a
137,137,0,12e1af,1,1,19,2a
138,138,0,12e33f,1,1,19,2a
139,139,0,12e4cf,1,1,19,2a
140,140,0,12e65f,1,1,19,2a
141,141,0,12e7ef,1,1,1a,2d
142,142,0,12e97f,1,1,1a,2d
143,143,0,12eb0f,1,1,1a,2d
144,144,0,12ec9f,1,1,1a,2d
145,145,0,12ee2f,1,1,1a,2d
146,146,0,12efbf,1,1,1a,2d
147,147,0,12f14f,1,1,1c,2d
148,148,0,12f2df,1,1,1d,2e
149,149,0,12f46f,1,1,1d,30
150,150,0,12f5ff,1,1,1d,2e
151,151,0,12f78f,1,1,1e,31
152,152,0,12f91f,1,1,1d,2e
153,153,0,12faaf,1,1,1e,31
154,154,0,12fc3f,1,1,1d,31
155,155,0,12fdcf,1,1,1f,31
156,156,0,12ff5f,1,1,20,32
157,157,0,1300ef,1,1,20,31
158,158,0,13027f,1,1,21,32
159,159,0,13040f,1,1,21,32
160,160,0,13059f,1,1,1f,32
161,161,0,13072f,1,1,21,33
162,162,0,1308bf,1,1,22,35
163,163,0,130a4f,1,1,22,35
164,164,0,130bdf,1,1,21,34
165,165,0,130d6f,1,1,22,35
166,166,0,130eff,1,1,22,35
167,167,0,13108f,1,1,22,35
168,168,0,13121f,1,1,24,36
169,169,0,1313af,1,1,22,36
170,170,0,13153f,1,1,23,36
171,171,0,1316cf,1,1,25,37
172,172,0,13185f,1,1,25,38
173,173,0,1319ef,1,1,25,38
174,174,0,131b7f,1,1,25,36
175,175,0,131d0f,1,1,25,38
176,176,0,131e9f,1,1,26,39
177,177,0,13202f,1,1,25,39
178,178,0,1321bf,1,1,26,39
179,179,0,13234f,1,1,26,39
180,180,0,1324df,1,1,26,39
181,181,0,13266f,1,1,27,39
182,182,0,1327ff,1,1,28,3a
183,183,0,13298f,1,1,28,3a
184,184,0,132b1f,1,1,27,3a
185,185,0,132caf,1,1,29,3a
186,186,0,132e3f,1,1,28,39
187,187,0,132fcf,1,1,28,3a
188,188,0,13315f,1,1,29,3b
189,189,0,1332ef,1,1,29,3a
190,190,0,13347f,1,1,29,3b
191,191,0,13360f,1,1,29,3c
192,192,0,13379f,1,1,29,3d
193,193,0,13392f,1,1,29,3d
194,194,0,133abf,1,1,2b,3d
195,195,0,133c4f,1,1,2c,3f
196,196,0,133ddf,1,1,2c,3f
197,197,0,133f6f,1,1,2d,3f
198,198,0,1340ff,1,1,2c,3f
199,199,0,13428f,1,1,2c,3f
200,200,0,13441f,1,1,2c,3f
201,201,0,1345af,1,1,2e,41
202,202,0,13473f,1,1,2d,3f
203,203,0,1348cf,1,1,2e,41
204,204,0,134a5f,1,1,2e,41
205,205,0,134bef,1,1,2e,42
206,206,0,134d7f,1,1,31,43
207,207,0,134f0f,1,1,30,43
208,208,0,13509f,1,1,2e,41
209,209,0,13522f,1,1,2f,42
210,210,0,1353bf,1,1,31,43
211,211,0,13554f,1,1,31,44
212,212,0,1356df,1,1,31,44
213,213,0,13586f,1,1,32,44
214,214,0,1359ff,1,1,31,44
215,215,0,135b8f,1,1,32,44
216,216,0,135d1f,1,1,33,45
217,217,0,135eaf,1,1,33,45
218,218,0,13603f,1,1,33,45
219,219,0,1361cf,1,1,33,45
220,220,0,13635f,1,1,33,45
221,221,0,1364ef,1,1,34,45
222,222,0,13667f,1,1,36,46
223,223,0,13680f,1,1,36,46
224,224,0,13699f,1,1,38,47
225,225,0,136b2f,1,1,37,47
226,226,0,136cbf,1,1,38,48
227,227,0,136e4f,1,1,38,47
228,228,0,136fdf,1,1,38,48
229,229,0,13716f,1,1,38,49
230,230,0,1372ff,1,1,38,49
231,231,0,13748f,1,1,38,4a
232,232,0,13761f,1,1,38,48
233,233,0,1377af,1,1,38,48
234,234,0,13793f,1,1,39,4d
235,235,0,137acf,1,1,39,4c
236,236,0,137c5f,1,1,39,4b
237,237,0,137def,1,1,39,4c
238,238,0,137f7f,1,1,3a,4d
239,239,0,13810f,1,1,39,4c
240,240,0,13829f,1,1,3a,4d
241,241,0,13842f,1,1,3a,4d
242,242,0,1385bf,1,1,3a,4d
243,243,0,13874f,1,1,3a,4d
244,244,0,1388df,1,1,3a,4d
245,245,0,138a6f,1,1,3d,50
246,246,0,138bff,1,1,3d,4f
247,247,0,138d8f,1,1,3d,4f
248,248,0,138f1f,1,1,3d,4e
249,249,0,1390af,1,1,3d,4f
250,250,0,13923f,1,1,3d,50
251,251,0,1393cf,1,1,3d,50
252,252,0,13955f,1,1,3d,4f
253,253,0,1396ef,1,1,3f,52
254,254,0,13987f,1,1,3f,52
255,255,0,139a0f,1,1,3e,52
256,256,0,139b9f,1,1,41,55
257,257,0,139d2f,1,1,40,52
258,258,0,139ebf,1,1,40,52
259,259,0,13a04f,1,1,40,54
260,260,0,13a1df,1,1,41,55
261,261,0,13a36f,1,1,41,55
262,262,0,13a4ff,1,1,41,55
263,263,0,13a68f,1,1,41,55
264,264,0,13a81f,1,1,42,55
265,265,0,13a9af,1,1,42,55
266,266,0,13ab3f,1,1,42,55
267,267,0,13accf,1,1,44,56
268,268,0,13ae5f,1,1,44,56
269,269,0,13afef,1,1,45,56
270,270,0,13b17f,1,1,45,56
271,271,0,13b30f,1,1,45,56
272,272,0,13b49f,1,1,45,56
273,273,0,13b62f,1,1,45,57
274,274,0,13b7bf,1,1,45,59
275,275,0,13b94f,1,1,45,59
276,276,0,13badf,1,1,45,59
277,277,0,13bc6f,1,1,45,58
278,278,0,13bdff,1,1,45,59
279,279,0,13bf8f,1,1,46,59
280,280,0,13c11f,1,1,46,59
281,281,0,13c2af,1,1,46,59
282,282,0,13c43f,1,1,48,5a
283,283,0,13c5cf,1,1,49,5a
284,284,0,13c75f,1,1,49,5c
285,285,0,13c8ef,1,1,46,59
286,286,0,13ca7f,1,1,49,5b
287,287,0,13cc0f,1,1,49,5c
288,288,0,13cd9f,1,1,49,5b
289,289,0,13cf2f,1,1,49,5c
290,290,0,13d0bf,1,1,4b,5d
291,291,0,13d24f,1,1,49,5d
292,292,0,13d3df,1,1,4a,5d
293,293,0,13d56f,1,1,4a,5d
294,294,0,13d6ff,1,1,4c,5e
295,295,0,13d88f,1,1,4c,5e
296,296,0,13da1f,1,1,4c,5e
297,297,0,13dbaf,1,1,4d,5e
298,298,0,13dd3f,1,1,4c,5e
299,299,0,13decf,1,1,4d,5e
300,300,0,13e05f,1,1,4e,61
301,301,0,13e1ef,1,1,4e,61
302,302,0,13e37f,1,1,4e,61
303,303,0,13e50f,1,1,51,61
304,304,0,13e69f,1,1,4f,61
305,305,0,13e82f,1,1,4e,61
306,306,0,13e9bf,1,1,4e,61
307,307,0,13eb4f,1,1,51,62
308,308,0,13ecdf,1,1,51,62
309,309,0,13ee6f,1,1,52,62
310,310,0,13efff,1,1,51,62
311,311,0,13f18f,1,1,51,62
312,312,0,13f31f,1,1,51,62
313,313,0,13f4af,1,1,51,62
314,314,0,13f63f,1,1,52,62
315,315,0,13f7cf,1,1,55,65
316,316,0,13f95f,1,1,54,64
317,317,0,13faef,1,1,54,64
318,318,0,13fc7f,1,1,52,64
319,319,0,13fe0f,1,1,54,64
320,320,0,13ff9f,1,1,55,65
321,321,0,14012f,1,1,55,65
322,322,0,1402bf,1,1,55,65
323,323,0,14044f,1,1,54,65
324,324,0,1405df,1,1,56,65
325,325,0,14076f,1,1,56,65
326,326,0,1408ff,1,1,57,66
327,327,0,140a8f,1,1,55,65
328,328,0,140c1f,1,1,56,65
329,329,0,140daf,1,1,56,66
330,330,0,140f3f,1,1,58,66
331,331,0,1410cf,1,1,59,67
332,332,0,14125f,1,1,59,69
333,333,0,1413ef,1,1,59,67
334,334,0,14157f,1,1,59,69
335,335,0,14170f,1,1,59,67
336,336,0,14189f,1,1,59,69
337,337,0,141a2f,1,1,59,69
338,338,0,141bbf,1,1,59,67
339,339,0,141d4f,1,1,5a,6a
340,340,0,141edf,1,1,5a,69
341,341,0,14206f,1,1,5a,6a
342,342,0,1421ff,1,1,5a,69
343,343,0,14238f,1,1,5a,6a
344,344,0,14251f,1,1,5a,6a
345,345,0,1426af,1,1,5c,6c
346,346,0,14283f,1,1,5c,6c
347,347,0,1429cf,1,1,5c,6d
348,348,0,142b5f,1,1,5d,6d
349,349,0,142cef,1,1,5c,6d
350,350,0,142e7f,1,1,5d,6d
351,351,0,14300f,1,1,5d,6d
352,352,0,14319f,1,1,5d,6d
353,353,0,14332f,1,1,5d,6e
354,354,0,1434bf,1,1,5d,6e
355,355,0,14364f,1,1,5e,6f
356,356,0,1437df,1,1,5d,6e
357,357,0,14396f,1,1,5e,6e
358,358,0,143aff,1,1,5e,6f
359,359,0,143c8f,1,1,5d,6e
360,360,0,143e1f,1,1,5e,6e
361,361,0,143faf,1,1,5e,71
362,362,0,14413f,1,1,5e,71
363,363,0,1442cf,1,1,5e,71
364,364,0,14445f,1,1,5f,71
365,365,0,1445ef,1,1,60,71
366,366,0,14477f,1,1,60,71
367,367,0,14490f,1,1,60,71
368,368,0,144a9f,1,1,61,72
369,369,0,144c2f,1,1,61,71
370,370,0,144dbf,1,1,61,73
371,371,0,144f4f,1,1,61,71
372,372,0,1450df,1,1,61,71
373,373,0,14526f,1,1,61,73
374,374,0,1453ff,1,1,62,75
375,375,0,14558f,1,1,62,76
376,376,0,14571f,1,1,62,75
377,377,0,1458af,1,1,61,74
378,378,0,145a3f,1,1,62,76
379,379,0,145bcf,1,1,63,76
380,380,0,145d5f,1,1,64,77
381,381,0,145eef,1,1,62,76
382,382,0,14607f,1,1,63,76
383,383,0,14620f,1,1,64,77
384,384,0,14639f,1,1,64,77
385,385,0,14652f,1,1,64,79
386,386,0,1466bf,1,1,64,79
387,387,0,14684f,1,1,65,7a
388,388,0,1469df,1,1,64,79
389,389,0,146b6f,1,1,65,7a
390,390,0,146cff,1,1,65,7a
391,391,0,146e8f,1,1,65,7a
392,392,0,14701f,1,1,67,7d
393,393,0,1471af,1,1,65,7a
394,394,0,14733f,1,1,66,7c
395,395,0,1474cf,1,1,67,7d
396,396,0,14765f,1,1,67,7c
397,397,0,1477ef,1,1,67,7c
398,398,0,14797f,1,1,67,7d
399,399,0,147b0f,1,1,67,7c
400,400,0,147c9f,1,1,67,7d
401,401,0,147e2f,1,1,68,7d
402,402,0,147fbf,1,1,6a,7d
403,403,0,14814f,1,1,6a,7d
404,404,0,1482df,1,1,6a,7e
405,405,0,14846f,1,1,6c,7e
406,406,0,1485ff,1,1,6a,7d
407,407,0,14878f,1,1,6b,7e
408,408,0,14891f,1,1,6c,7e
409,409,0,148aaf,1,1,6d,7f
410,410,0,148c3f,1,1,6d,81
411,411,0,148dcf,1,1,6d,80
412,412,0,148f5f,1,1,6d,81
413,413,0,1490ef,1,1,6d,80
414,414,0,14927f,1,1,6d,80
415,415,0,14940f,1,1,6d,81
416,416,0,14959f,1,1,6d,81
417,417,0,14972f,1,1,6e,82
418,418,0,1498bf,1,1,6f,82
419,419,0,149a4f,1,1,6e,82
420,420,0,149bdf,1,1,6f,82
421,421,0,149d6f,1,1,70,83
422,422,0,149eff,1,1,70,83
423,423,0,14a08f,1,1,71,85
424,424,0,14a21f,1,1,71,85
425,425,0,14a3af,1,1,71,85
426,426,0,14a53f,1,1,71,85
427,427,0,14a6cf,1,1,71,85
428,428,0,14a85f,1,1,74,86
429,429,0,14a9ef,1,1,74,86
430,430,0,14ab7f,1,1,72,85
431,431,0,14ad0f,1,1,73,86
432,432,0,14ae9f,1,1,76,88
433,433,0,14b02f,1,1,74,86
434,434,0,14b1bf,1,1,76,88
435,435,0,14b34f,1,1,76,88
436,436,0,14b4df,1,1,76,88
437,437,0,14b66f,1,1,76,88
438,438,0,14b7ff,1,1,76,87
439,439,0,14b98f,1,1,79,88
440,440,0,14bb1f,1,1,79,89
441,441,0,14bcaf,1,1,76,88
442,442,0,14be3f,1,1,77,88
443,443,0,14bfcf,1,1,79,88
444,444,0,14c15f,1,1,79,89
445,445,0,14c2ef,1,1,79,89
446,446,0,14c47f,1,1,79,89
447,447,0,14c60f,1,1,79,89
448,448,0,14c79f,1,1,79,89
449,449,0,14c92f,1,1,7a,89
450,450,0,14cabf,1,1,79,89
451,451,0,14cc4f,1,1,7a,8b
452,452,0,14cddf,1,1,7a,8b
453,453,0,14cf6f,1,1,7a,8b
454,454,0,14d0ff,1,1,7b,8b
455,455,0,14d28f,1,1,7b,8b
456,456,0,14d41f,1,1,7b,8b
457,457,0,14d5af,1,1,7d,8d
458,458,0,14d73f,1,1,7d,8e
459,459,0,14d8cf,1,1,7d,8d
460,460,0,14da5f,1,1,7d,8e
461,461,0,14dbef,1,1,7d,8e
462,462,0,14dd7f,1,1,7d,8e
463,463,0,14df0f,1,1,7d,8e
464,464,0,14e09f,1,1,7d,8e
465,465,0,14e22f,1,1,80,90
466,466,0,14e3bf,1,1,7f,90
467,467,0,14e54f,1,1,7f,90
468,468,0,14e6df,1,1,80,91
469,469,0,14e86f,1,1,80,90
470,470,0,14e9ff,1,1,7f,90
471,471,0,14eb8f,1,1,81,91
472,472,0,14ed1f,1,1,82,91
473,473,0,14eeaf,1,1,83,92
474,474,0,14f03f,1,1,82,91
475,475,0,14f1cf,1,1,84,92
476,476,0,14f35f,1,1,82,92
477,477,0,14f4ef,1,1,85,92
478,478,0,14f67f,1,1,85,92
479,479,0,14f80f,1,1,84,92
480,480,0,14f99f,1,1,85,93
481,481,0,14fb2f,1,1,85,95
482,482,0,14fcbf,1,1,85,95
483,483,0,14fe4f,1,1,85,95
484,484,0,14ffdf,1,1,85,95
485,485,0,15016f,1,1,85,95
486,486,0,1502ff,1,1,85,95
487,487,0,15048f,1,1,86,96
488,488,0,15061f,1,1,86,96
489,489,0,1507af,1,1,86,96
490,490,0,15093f,1,1,88,98
491,491,0,150acf,1,1,86,96
492,492,0,150c5f,1,1,88,98
493,493,0,150def,1,1,88,98
494,494,0,150f7f,1,1,89,9a
495,495,0,15110f,1,1,89,9a
496,496,0,15129f,1,1,88,99
497,497,0,15142f,1,1,88,99
498,498,0,1515bf,1,1,88,99
499,499,0,15174f,1,1,88,99
500,500,0,1518df,1,1,89,9a
501,501,0,151a6f,1,1,89,9d
502,502,0,151bff,1,1,89,9a
503,503,0,151d8f,1,1,89,9c
504,504,0,151f1f,1,1,89,9a
505,505,0,1520af,1,1,8a,9d
506,506,0,15223f,1,1,8b,9d
507,507,0,1523cf,1,1,8a,9d
508,508,0,15255f,1,1,8a,9d
509,509,0,1526ef,1,1,8c,9d
510,510,0,15287f,1,1,8d,9e
511,511,0,152a0f,1,1,8c,9d
512,512,0,152b9f,1,0,8f,9f
513,513,0,152d2f,1,0,8f,9e
514,514,0,152ebf,1,0,8f,9e
515,515,0,15304f,1,0,8f,9e
516,516,0,1531df,1,1,8d,9e
517,517,0,15336f,1,1,8d,9e
518,518,0,1534ff,1,0,91,a1
519,519,0,15368f,1,0,8f,a1
520,520,0,15381f,1,0,91,a1
521,521,0,1539af,1,0,91,a1
522,522,0,153b3f,1,0,91,a1
523,523,0,153ccf,1,0,91,a1
524,524,0,153e5f,1,0,95,a2
525,525,0,153fef,1,0,91,a1
526,526,0,15417f,1,0,94,a2
527,527,0,15430f,1,0,92,a1
528,528,0,15449f,1,0,92,a1
529,529,0,15462f,1,0,95,a4
530,530,0,1547bf,1,0,95,a5
531,531,0,15494f,1,0,95,a2
532,532,0,154adf,1,0,95,a5
533,533,0,154c6f,1,0,95,a5
534,534,0,154dff,1,0,95,a5
535,535,0,154f8f,1,0,96,a6
536,536,0,15511f,1,0,96,a6
537,537,0,1552af,1,0,96,a5
538,538,0,15543f,1,0,96,a5
539,539,0,1555cf,1,0,97,a6
540,540,0,15575f,1,0,98,a7
541,541,0,1558ef,1,0,99,a7
542,542,0,155a7f,1,0,99,a8
543,543,0,155c0f,1,0,99,a7
544,544,0,155d9f,1,0,99,a7
545,545,0,155f2f,1,0,99,a9
546,546,0,1560bf,1,0,99,aa
547,547,0,15624f,1,0,99,a9
548,548,0,1563df,1,0,99,a9
549,549,0,15656f,1,0,9a,aa
550,550,0,1566ff,1,0,9a,aa
551,551,0,15688f,1,0,9a,aa
552,552,0,156a1f,1,0,9a,aa
553,553,0,156baf,1,0,9a,aa
554,554,0,156d3f,1,0,9c,ac
555,555,0,156ecf,1,0,9a,aa
556,556,0,15705f,1,0,9c,ad
557,557,0,1571ef,1,0,9c,ad
558,558,0,15737f,1,0,9c,ad
559,559,0,15750f,1,0,9c,ad
560,560,0,15769f,1,0,9c,ad
561,561,0,15782f,1,0,9c,ad
562,562,0,1579bf,1,0,9c,ad
563,563,0,157b4f,1,0,9d,ae
564,564,0,157cdf,1,0,9d,ad
565,565,0,157e6f,1,0,9d,ae
566,566,0,157fff,1,0,9d,af
567,567,0,15818f,1,0,9d,af
568,568,0,15831f,1,0,9d,af
569,569,0,1584af,1,0,9d,b0
570,570,0,15863f,1,0,9e,b1
571,571,0,1587cf,1,0,9e,b0
572,572,0,15895f,1,0,9d,af
573,573,0,158aef,1,0,9e,b1
574,574,0,158c7f,1,0,9f,b1
575,575,0,158e0f,1,0,9e,b1
576,576,0,158f9e,1,1,04,13
577,577,0,15912e,1,1,04,13
578,578,0,1592be,1,1,04,15
579,579,0,15944e,1,1,05,17
580,580,0,1595de,1,1,04,14
581,581,0,15976e,1,1,05,15
582,582,0,1598fe,1,1,05,16
583,583,0,159a8e,1,1,05,19
584,584,0,159c1e,1,1,05,17
585,585,0,159dae,1,1,05,19
586,586,0,159f3e,1,1,05,19
587,587,0,15a0ce,1,1,09,1a
588,588,0,15a25e,1,1,05,19
589,589,0,15a3ee,1,1,06,19
590,590,0,15a57e,1,1,06,19
591,591,0,15a70e,1,1,09,1a
592,592,0,15a89e,1,1,09,1a
593,593,0,15aa2e,1,1,09,1a
594,594,0,15abbe,1,1,09,19
595,595,0,15ad4e,1,1,09,1a
596,596,0,15aede,1,1,09,19
597,597,0,15b06e,1,1,09,1a
598,598,0,15b1fe,1,1,09,1a
599,599,0,15b38e,1,1,09,1c
600,600,0,15b51e,1,1,09,1d
601,601,0,15b6ae,1,1,0a,1d
602,602,0,15b83e,1,1,0a,1d
603,603,0,15b9ce,1,1,0d,1d
604,604,0,15bb5e,1,1,0a,1d
605,605,0,15bcee,1,1,0c,1d
606,606,0,15be7e,1,1,0d,1d
607,607,0,15c00e,1,1,0d,1e
608,608,0,15c19e,1,1,0d,1e
609,609,0,15c32e,1,1,0d,1d
610,610,0,15c4be,1,1,0e,1e
611,611,0,15c64e,1,1,0e,1e
612,612,0,15c7de,1,1,0e,20
613,613,0,15c96e,1,1,0e,1f
614,614,0,15cafe,1,1,0e,21
615,615,0,15cc8e,1,1,0e,21
616,616,0,15ce1e,1,1,0e,21
617,617,0,15cfae,1,1,0f,21
618,618,0,15d13e,1,1,11,22
619,619,0,15d2ce,1,1,0e,21
620,620,0,15d45e,1,1,11,22
621,621,0,15d5ee,1,1,11,22
622,622,0,15d77e,1,1,11,21
623,623,0,15d90e,1,1,11,24
624,624,0,15da9e,1,1,11,22
625,625,0,15dc2e,1,1,11,23
626,626,0,15ddbe,1,1,11,23
627,627,0,15df4e,1,1,11,24
628,628,0,15e0de,1,1,12,25
629,629,0,15e26e,1,1,13,25
630,630,0,15e3fe,1,1,15,26
631,631,0,15e58e,1,1,15,26
632,632,0,15e71e,1,1,13,25
633,633,0,15e8ae,1,1,15,26
634,634,0,15ea3e,1,1,15,26
635,635,0,15ebce,1,1,15,26
636,636,0,15ed5e,1,1,15,26
637,637,0,15eeee,1,1,15,27
638,638,0,15f07e,1,1,15,28
639,639,0,15f20e,1,1,15,29
640,640,0,15f39e,1,1,15,29
641,641,0,15f52e,1,1,16,29
642,642,0,15f6be,1,1,15,28
643,643,0,15f84e,1,1,17,29
644,644,0,15f9de,1,1,16,29
645,645,0,15fb6e,1,1,19,29
646,646,0,15fcfe,1,1,19,2a
647,647,0,15fe8e,1,1,18,29
648,648,0,16001e,1,1,19,2a
649,649,0,1601ae,1,1,1a,2d
650,650,0,16033e,1,1,19,2a
651,651,0,1604ce,1,1,1a,2c
652,652,0,16065e,1,1,1a,2d
653,653,0,1607ee,1,1,1a,2d
654,654,0,16097e,1,1,1a,2d
655,655,0,160b0e,1,1,1d,2e
656,656,0,160c9e,1,1,1a,2d
657,657,0,160e2e,1,1,1a,2d
658,658,0,160fbe,1,1,1d,2e
659,659,0,16114e,1,1,1d,30
660,660,0,1612de,1,1,1d,2e
661,661,0,16146e,1,1,1d,2e
662,662,0,1615fe,1,1,1d,2e
663,663,0,16178e,1,1,1d,31
664,664,0,16191e,1,1,1d,31
665,665,0,161aae,1,1,1e,31
666,666,0,161c3e,1,1,1e,31
667,667,0,161dce,1,1,1d,31
668,668,0,161f5e,1,1,1d,31
669,669,0,1620ee,1,1,20,32
670,670,0,16227e,1,1,21,33
671,671,0,16240e,1,1,21,34
672,672,0,16259e,1,1,21,32
673,673,0,16272e,1,1,1f,31
674,674,0,1628be,1,1,21,32
675,675,0,162a4e,1,1,22,35
676,676,0,162bde,1,1,22,35
677,677,0,162d6e,1,1,22,35
678,678,0,162efe,1,1,22,35
679,679,0,16308e,1,1,22,35
680,680,0,16321e,1,1,25,37
681,681,0,1633ae,1,1,23,36
682,682,0,16353e,1,1,25,36
683,683,0,1636ce,1,1,25,37
684,684,0,16385e,1,1,25,37
685,685,0,1639ee,1,1,25,37
686,686,0,163b7e,1,1,25,38
687,687,0,163d0e,1,1,25,37
688,688,0,163e9e,1,1,26,39
689,689,0,16402e,1,1,26,39
690,690,0,1641be,1,1,26,39
691,691,0,16434e,1,1,27,39
692,692,0,1644de,1,1,28,3a
693,693,0,16466e,1,1,28,39
694,694,0,1647fe,1,1,28,39
695,695,0,16498e,1,1,29,3a
696,696,0,164b1e,1,1,29,3a
697,697,0,164cae,1,1,29,3a
698,698,0,164e3e,1,1,29,3a
699,699,0,164fce,1,1,29,3b
700,700,0,16515e,1,1,29,3d
701,701,0,1652ee,1,1,29,3a
702,702,0,16547e,1,1,29,3d
703,703,0,16560e,1,1,2a,3d
704,704,0,16579e,1,1,2a,3d
705,705,0,16592e,1,1,2b,3d
706,706,0,165abe,1,1,2b,3d
